"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"MUNICIPIO",270520,12373,NA
2015,"MUNICIPIO",270530,1804,NA
2015,"MUNICIPIO",270540,4111,NA
2015,"MUNICIPIO",270550,13282,NA
2015,"MUNICIPIO",270560,5512,NA
2015,"MUNICIPIO",270570,18226,NA
2015,"MUNICIPIO",270580,5656,NA
2015,"MUNICIPIO",270590,2032,NA
2015,"MUNICIPIO",270600,5429,NA
2015,"MUNICIPIO",270610,5058,NA
2015,"MUNICIPIO",270620,3922,NA
2015,"MUNICIPIO",270630,64202,2369
2015,"MUNICIPIO",270640,24878,NA
2015,"MUNICIPIO",270642,7580,NA
2015,"MUNICIPIO",270644,10299,NA
2015,"MUNICIPIO",270650,4973,NA
2015,"MUNICIPIO",270660,5069,1104
2015,"MUNICIPIO",270670,61818,NA
2015,"MUNICIPIO",270680,11038,NA
2015,"MUNICIPIO",270690,34441,4000
2015,"MUNICIPIO",270700,1541,NA
2015,"MUNICIPIO",270710,22243,7316
2015,"MUNICIPIO",270720,3295,NA
2015,"MUNICIPIO",270730,NA,NA
2015,"MUNICIPIO",270740,3321,NA
2015,"MUNICIPIO",270750,NA,NA
2015,"MUNICIPIO",270760,6555,958
2015,"MUNICIPIO",270770,48681,NA
2015,"MUNICIPIO",270780,NA,NA
2015,"MUNICIPIO",270790,5381,NA
2015,"MUNICIPIO",270800,34652,2144
2015,"MUNICIPIO",270810,5714,NA
2015,"MUNICIPIO",270820,3652,NA
2015,"MUNICIPIO",270830,NA,NA
2015,"MUNICIPIO",270840,15568,NA
2015,"MUNICIPIO",270850,NA,NA
2015,"MUNICIPIO",270860,60539,59830
2015,"MUNICIPIO",270870,NA,NA
2015,"MUNICIPIO",270880,10484,NA
2015,"MUNICIPIO",270890,7804,NA
2015,"MUNICIPIO",270895,4190,NA
2015,"MUNICIPIO",270900,NA,NA
2015,"MUNICIPIO",270910,8394,NA
2015,"MUNICIPIO",270915,36960,25310
2015,"MUNICIPIO",270920,10026,NA
2015,"MUNICIPIO",270930,51483,38496
2015,"MUNICIPIO",270940,22750,NA
2015,"MUNICIPIO",130002,2181,NA
2015,"MUNICIPIO",130006,NA,NA
2015,"MUNICIPIO",130008,NA,NA
2015,"MUNICIPIO",130010,NA,NA
2015,"MUNICIPIO",130014,NA,NA
2015,"MUNICIPIO",130020,NA,NA
2015,"MUNICIPIO",130030,6421,NA
2015,"MUNICIPIO",130040,10500,NA
2015,"MUNICIPIO",130050,NA,NA
2015,"MUNICIPIO",130060,15842,NA
2015,"MUNICIPIO",130063,11230,NA
2015,"MUNICIPIO",130068,NA,NA
2015,"MUNICIPIO",130070,NA,NA
2015,"MUNICIPIO",130080,38242,NA
2015,"MUNICIPIO",130083,NA,NA
2015,"MUNICIPIO",130090,8930,NA
2015,"MUNICIPIO",130100,22507,NA
2015,"MUNICIPIO",130110,NA,NA
2015,"MUNICIPIO",130115,1633,NA
2015,"MUNICIPIO",130120,NA,NA
2015,"MUNICIPIO",130130,9522,NA
2015,"MUNICIPIO",130140,14305,NA
2015,"MUNICIPIO",130150,11508,NA
2015,"MUNICIPIO",130160,19045,NA
2015,"MUNICIPIO",130165,12000,650
2015,"MUNICIPIO",130170,NA,NA
2015,"MUNICIPIO",130180,NA,NA
2015,"MUNICIPIO",130185,NA,NA
2015,"MUNICIPIO",130190,NA,NA
2015,"MUNICIPIO",130195,1361,NA
2015,"MUNICIPIO",130200,NA,NA
2015,"MUNICIPIO",130210,NA,NA
2015,"MUNICIPIO",130220,4569,NA
2015,"MUNICIPIO",130230,NA,NA
2015,"MUNICIPIO",130240,NA,NA
2015,"MUNICIPIO",130250,66559,NA
2015,"MUNICIPIO",130255,6293,NA
2015,"MUNICIPIO",130260,1757691,213935
2015,"MUNICIPIO",130270,28500,NA
2015,"MUNICIPIO",130280,NA,NA
2015,"MUNICIPIO",130290,NA,NA
2015,"MUNICIPIO",130300,6000,NA
2015,"MUNICIPIO",130310,20800,3121
2015,"MUNICIPIO",130320,12124,NA
2015,"MUNICIPIO",130330,NA,NA
2015,"MUNICIPIO",130340,106000,NA
2015,"MUNICIPIO",130350,NA,NA
2015,"MUNICIPIO",130353,15698,5000
2015,"MUNICIPIO",130356,NA,NA
2015,"MUNICIPIO",130360,NA,NA
2015,"MUNICIPIO",130370,NA,NA
2015,"MUNICIPIO",130380,NA,NA
2015,"MUNICIPIO",130390,9339,NA
2015,"MUNICIPIO",130395,12781,NA
2015,"MUNICIPIO",130400,8000,NA
2015,"MUNICIPIO",130406,14988,NA
2015,"MUNICIPIO",130410,NA,NA
2015,"MUNICIPIO",130420,NA,NA
2015,"MUNICIPIO",130423,9850,7850
2015,"MUNICIPIO",130426,NA,NA
2015,"MUNICIPIO",130430,17163,NA
2015,"MUNICIPIO",130440,NA,NA
2015,"MUNICIPIO",160010,1653,459
2015,"MUNICIPIO",160020,1158,NA
2015,"MUNICIPIO",160021,2328,NA
2015,"MUNICIPIO",160023,2271,NA
2015,"MUNICIPIO",160025,1588,NA
2015,"MUNICIPIO",160027,15881,NA
2015,"MUNICIPIO",160030,166013,24797
2015,"MUNICIPIO",160040,2448,311
2015,"MUNICIPIO",160050,1819,273
2015,"MUNICIPIO",160015,574,NA
2015,"MUNICIPIO",160053,782,NA
2015,"MUNICIPIO",160055,970,NA
2015,"MUNICIPIO",160060,52794,1374
2015,"MUNICIPIO",160005,1905,1863
2015,"MUNICIPIO",160070,2331,NA
2015,"MUNICIPIO",160080,6247,NA
2015,"MUNICIPIO",290010,NA,NA
2015,"MUNICIPIO",290020,12855,6548
2015,"MUNICIPIO",290030,14060,NA
2015,"MUNICIPIO",290035,10107,NA
2015,"MUNICIPIO",290040,8123,NA
2015,"MUNICIPIO",290060,2742,NA
2015,"MUNICIPIO",290070,152803,32693
2015,"MUNICIPIO",290080,12252,NA
2015,"MUNICIPIO",290090,5925,NA
2015,"MUNICIPIO",290100,32742,1043
2015,"MUNICIPIO",290110,19082,NA
2015,"MUNICIPIO",290115,13822,NA
2015,"MUNICIPIO",290120,6350,NA
2015,"MUNICIPIO",290130,8580,NA
2015,"MUNICIPIO",290135,9908,NA
2015,"MUNICIPIO",290140,6872,NA
2015,"MUNICIPIO",290150,8236,NA
2015,"MUNICIPIO",290160,10872,NA
2015,"MUNICIPIO",290170,4979,NA
2015,"MUNICIPIO",290180,9127,NA
2015,"MUNICIPIO",290190,16643,NA
2015,"MUNICIPIO",290195,5008,NA
2015,"MUNICIPIO",290205,NA,NA
2015,"MUNICIPIO",290200,5902,NA
2015,"MUNICIPIO",290210,26781,1035
2015,"MUNICIPIO",290220,6256,NA
2015,"MUNICIPIO",290225,5572,NA
2015,"MUNICIPIO",290230,5458,NA
2015,"MUNICIPIO",290240,10679,NA
2015,"MUNICIPIO",290250,3918,NA
2015,"MUNICIPIO",290260,12765,NA
2015,"MUNICIPIO",290265,5684,NA
2015,"MUNICIPIO",290270,NA,NA
2015,"MUNICIPIO",290280,18982,8600
2015,"MUNICIPIO",290290,29022,481
2015,"MUNICIPIO",290300,11336,NA
2015,"MUNICIPIO",290310,4145,NA
2015,"MUNICIPIO",290320,153918,58492
2015,"MUNICIPIO",290323,6393,NA
2015,"MUNICIPIO",290327,11441,NA
2015,"MUNICIPIO",290330,NA,NA
2015,"MUNICIPIO",290340,16467,12785
2015,"MUNICIPIO",290350,6777,NA
2015,"MUNICIPIO",290360,7002,NA
2015,"MUNICIPIO",290370,9110,3304
2015,"MUNICIPIO",290380,13333,NA
2015,"MUNICIPIO",290390,69526,47204
2015,"MUNICIPIO",290395,4340,NA
2015,"MUNICIPIO",290400,5619,NA
2015,"MUNICIPIO",290405,6921,NA
2015,"MUNICIPIO",290410,NA,NA
2015,"MUNICIPIO",290420,5916,NA
2015,"MUNICIPIO",290430,13803,15214
2015,"MUNICIPIO",290440,2983,NA
2015,"MUNICIPIO",290450,4033,NA
2015,"MUNICIPIO",290460,61083,4402
2015,"MUNICIPIO",290470,14829,NA
2015,"MUNICIPIO",290475,NA,NA
2015,"MUNICIPIO",290480,7142,NA
2015,"MUNICIPIO",290485,9126,623
2015,"MUNICIPIO",290490,24986,14158
2015,"MUNICIPIO",290500,19306,NA
2015,"MUNICIPIO",290510,4596,NA
2015,"MUNICIPIO",290515,3940,NA
2015,"MUNICIPIO",290520,38201,NA
2015,"MUNICIPIO",290530,12016,NA
2015,"MUNICIPIO",290540,14352,3855
2015,"MUNICIPIO",290550,8217,NA
2015,"MUNICIPIO",290560,23551,8938
2015,"MUNICIPIO",290570,247609,81561
2015,"MUNICIPIO",290580,19832,1819
2015,"MUNICIPIO",290590,8650,8650
2015,"MUNICIPIO",290600,31833,2961
2015,"MUNICIPIO",290610,6441,3502
2015,"MUNICIPIO",290620,18827,NA
2015,"MUNICIPIO",290630,26856,16868
2015,"MUNICIPIO",290640,4651,NA
2015,"MUNICIPIO",290650,79905,33015
2015,"MUNICIPIO",290660,10771,NA
2015,"MUNICIPIO",290670,16524,NA
2015,"MUNICIPIO",290680,26650,NA
2015,"MUNICIPIO",290682,11000,NA
2015,"MUNICIPIO",290685,9161,NA
2015,"MUNICIPIO",290687,29346,2141
2015,"MUNICIPIO",290689,3431,1231
2015,"MUNICIPIO",290690,14771,NA
2015,"MUNICIPIO",290700,6750,NA
2015,"MUNICIPIO",290710,22975,5625
2015,"MUNICIPIO",290720,55000,23000
2015,"MUNICIPIO",290730,22849,657
2015,"MUNICIPIO",290740,2319,NA
2015,"MUNICIPIO",290750,53007,NA
2015,"MUNICIPIO",290755,5737,1746
2015,"MUNICIPIO",290760,14614,NA
2015,"MUNICIPIO",290770,7452,2739
2015,"MUNICIPIO",290780,24355,NA
2015,"MUNICIPIO",290790,13169,NA
2015,"MUNICIPIO",290800,17531,NA
2015,"MUNICIPIO",290810,NA,NA
2015,"MUNICIPIO",290820,19451,484
2015,"MUNICIPIO",290830,8137,NA
2015,"MUNICIPIO",290840,53481,3609
2015,"MUNICIPIO",290850,14366,NA
2015,"MUNICIPIO",290860,16294,NA
2015,"MUNICIPIO",290870,9152,NA
2015,"MUNICIPIO",290880,3011,NA
2015,"MUNICIPIO",290890,10209,NA
2015,"MUNICIPIO",290900,4956,NA
2015,"MUNICIPIO",290910,14210,NA
2015,"MUNICIPIO",290920,10989,4418
2015,"MUNICIPIO",290930,17384,3376
2015,"MUNICIPIO",290940,7686,NA
2015,"MUNICIPIO",290950,3279,2595
2015,"MUNICIPIO",290960,9306,NA
2015,"MUNICIPIO",290970,3352,NA
2015,"MUNICIPIO",290980,57876,9226
2015,"MUNICIPIO",290990,30291,10412
2015,"MUNICIPIO",291000,5389,NA
2015,"MUNICIPIO",291005,59281,29601
2015,"MUNICIPIO",291010,NA,NA
2015,"MUNICIPIO",291020,2599,NA
2015,"MUNICIPIO",291030,3751,NA
2015,"MUNICIPIO",291040,6196,3976
2015,"MUNICIPIO",291050,32275,2835
2015,"MUNICIPIO",290050,4633,NA
2015,"MUNICIPIO",291060,27761,NA
2015,"MUNICIPIO",291070,44731,8883
2015,"MUNICIPIO",291072,98899,8179
2015,"MUNICIPIO",291075,16647,NA
2015,"MUNICIPIO",291077,NA,NA
2015,"MUNICIPIO",291080,581908,340893
2015,"MUNICIPIO",291085,12141,NA
2015,"MUNICIPIO",291090,5594,NA
2015,"MUNICIPIO",291100,8729,NA
2015,"MUNICIPIO",291110,15100,NA
2015,"MUNICIPIO",291120,22646,12000
2015,"MUNICIPIO",291125,3380,2622
2015,"MUNICIPIO",291130,3778,2411
2015,"MUNICIPIO",291140,11679,3938
2015,"MUNICIPIO",291150,4755,NA
2015,"MUNICIPIO",291160,11441,NA
2015,"MUNICIPIO",291165,3289,NA
2015,"MUNICIPIO",291170,85797,40159
2015,"MUNICIPIO",291180,10553,1089
2015,"MUNICIPIO",291185,8173,NA
2015,"MUNICIPIO",291190,26056,NA
2015,"MUNICIPIO",291200,7669,NA
2015,"MUNICIPIO",291210,24029,NA
2015,"MUNICIPIO",291220,4572,NA
2015,"MUNICIPIO",291230,11299,NA
2015,"MUNICIPIO",291240,13725,NA
2015,"MUNICIPIO",291250,8256,NA
2015,"MUNICIPIO",291260,3358,NA
2015,"MUNICIPIO",291270,11815,NA
2015,"MUNICIPIO",291280,6418,NA
2015,"MUNICIPIO",291290,14789,NA
2015,"MUNICIPIO",291300,3638,1461
2015,"MUNICIPIO",291310,18455,NA
2015,"MUNICIPIO",291320,24471,17996
2015,"MUNICIPIO",291330,5001,NA
2015,"MUNICIPIO",291340,NA,NA
2015,"MUNICIPIO",291345,4462,NA
2015,"MUNICIPIO",291350,15614,1889
2015,"MUNICIPIO",291360,157589,88235
2015,"MUNICIPIO",291370,23007,NA
2015,"MUNICIPIO",291380,8775,NA
2015,"MUNICIPIO",291390,47501,2645
2015,"MUNICIPIO",291400,45194,3426
2015,"MUNICIPIO",291410,7688,4413
2015,"MUNICIPIO",291420,4283,NA
2015,"MUNICIPIO",291430,7724,NA
2015,"MUNICIPIO",291440,8172,NA
2015,"MUNICIPIO",291450,25743,NA
2015,"MUNICIPIO",291460,73380,13801
2015,"MUNICIPIO",291465,24790,NA
2015,"MUNICIPIO",291470,66310,8368
2015,"MUNICIPIO",291480,218925,148645
2015,"MUNICIPIO",291490,22225,8442
2015,"MUNICIPIO",291500,7050,NA
2015,"MUNICIPIO",291510,11077,NA
2015,"MUNICIPIO",291520,7890,NA
2015,"MUNICIPIO",291530,5597,NA
2015,"MUNICIPIO",291535,4447,NA
2015,"MUNICIPIO",291540,5959,3681
2015,"MUNICIPIO",291550,21754,20000
2015,"MUNICIPIO",291560,55469,40219
2015,"MUNICIPIO",291570,5403,NA
2015,"MUNICIPIO",291580,19381,675
2015,"MUNICIPIO",291590,3494,NA
2015,"MUNICIPIO",291600,15159,NA
2015,"MUNICIPIO",291610,18326,9063
2015,"MUNICIPIO",291620,8760,NA
2015,"MUNICIPIO",291630,8038,NA
2015,"MUNICIPIO",291640,76184,71921
2015,"MUNICIPIO",291650,18577,NA
2015,"MUNICIPIO",291660,8378,NA
2015,"MUNICIPIO",291670,5229,5113
2015,"MUNICIPIO",291680,16014,NA
2015,"MUNICIPIO",291685,14657,NA
2015,"MUNICIPIO",291690,9899,9987
2015,"MUNICIPIO",291700,16097,529
2015,"MUNICIPIO",291710,18460,18460
2015,"MUNICIPIO",291720,8253,3500
2015,"MUNICIPIO",291730,17482,NA
2015,"MUNICIPIO",291733,6477,NA
2015,"MUNICIPIO",291735,3380,3186
2015,"MUNICIPIO",291740,4227,NA
2015,"MUNICIPIO",291750,68244,4189
2015,"MUNICIPIO",291760,46893,17691
2015,"MUNICIPIO",291770,21244,9329
2015,"MUNICIPIO",291780,9665,NA
2015,"MUNICIPIO",291790,5446,NA
2015,"MUNICIPIO",291800,161528,141626
2015,"MUNICIPIO",291810,22608,NA
2015,"MUNICIPIO",291820,7220,4188
2015,"MUNICIPIO",291830,9939,NA
2015,"MUNICIPIO",291835,22003,NA
2015,"MUNICIPIO",291840,211971,134572
2015,"MUNICIPIO",291845,3125,NA
2015,"MUNICIPIO",291850,15630,NA
2015,"MUNICIPIO",291855,NA,NA
2015,"MUNICIPIO",291860,3758,NA
2015,"MUNICIPIO",291870,2512,NA
2015,"MUNICIPIO",291875,4416,NA
2015,"MUNICIPIO",291880,5226,2939
2015,"MUNICIPIO",291890,4022,NA
2015,"MUNICIPIO",291900,2595,960
2015,"MUNICIPIO",291905,4499,NA
2015,"MUNICIPIO",291910,6109,NA
2015,"MUNICIPIO",291915,26684,NA
2015,"MUNICIPIO",291920,191436,81672
2015,"MUNICIPIO",291930,8683,5072
2015,"MUNICIPIO",291940,5705,NA
2015,"MUNICIPIO",291950,28768,NA
2015,"MUNICIPIO",291955,79162,8242
2015,"MUNICIPIO",291960,9759,7242
2015,"MUNICIPIO",291970,14847,NA
2015,"MUNICIPIO",291980,45968,NA
2015,"MUNICIPIO",291990,4000,NA
2015,"MUNICIPIO",291992,20348,15895
2015,"MUNICIPIO",291995,4364,NA
2015,"MUNICIPIO",292000,7387,NA
2015,"MUNICIPIO",292010,12158,NA
2015,"MUNICIPIO",292020,9673,NA
2015,"MUNICIPIO",292030,3794,NA
2015,"MUNICIPIO",292040,6880,NA
2015,"MUNICIPIO",292045,6617,NA
2015,"MUNICIPIO",292050,15050,NA
2015,"MUNICIPIO",292060,29745,13940
2015,"MUNICIPIO",292070,3680,NA
2015,"MUNICIPIO",292080,7619,NA
2015,"MUNICIPIO",292090,11799,NA
2015,"MUNICIPIO",292100,44943,15911
2015,"MUNICIPIO",292105,4930,NA
2015,"MUNICIPIO",292110,18766,NA
2015,"MUNICIPIO",292120,20084,4682
2015,"MUNICIPIO",292130,10169,NA
2015,"MUNICIPIO",292140,3279,NA
2015,"MUNICIPIO",292145,2739,NA
2015,"MUNICIPIO",292150,18979,NA
2015,"MUNICIPIO",292160,6239,NA
2015,"MUNICIPIO",292170,23383,14088
2015,"MUNICIPIO",292180,7169,NA
2015,"MUNICIPIO",292190,10244,6231
2015,"MUNICIPIO",292200,21337,10600
2015,"MUNICIPIO",292205,7095,NA
2015,"MUNICIPIO",292210,17951,NA
2015,"MUNICIPIO",292220,3773,NA
2015,"MUNICIPIO",292225,2648,1342
2015,"MUNICIPIO",292230,24552,8912
2015,"MUNICIPIO",292240,11621,9229
2015,"MUNICIPIO",292250,24777,24651
2015,"MUNICIPIO",292260,3574,NA
2015,"MUNICIPIO",292265,9378,NA
2015,"MUNICIPIO",292270,7451,NA
2015,"MUNICIPIO",292273,8125,NA
2015,"MUNICIPIO",292275,2933,NA
2015,"MUNICIPIO",292280,4449,NA
2015,"MUNICIPIO",292285,6497,NA
2015,"MUNICIPIO",292290,13981,NA
2015,"MUNICIPIO",292300,29482,1833
2015,"MUNICIPIO",292303,221,NA
2015,"MUNICIPIO",292305,7487,NA
2015,"MUNICIPIO",292310,14838,10000
2015,"MUNICIPIO",292320,6858,NA
2015,"MUNICIPIO",292330,6214,1000
2015,"MUNICIPIO",292335,7760,NA
2015,"MUNICIPIO",292340,10935,NA
2015,"MUNICIPIO",292350,5213,3216
2015,"MUNICIPIO",292360,22077,NA
2015,"MUNICIPIO",292370,NA,NA
2015,"MUNICIPIO",292380,20061,NA
2015,"MUNICIPIO",292390,8321,NA
2015,"MUNICIPIO",292400,104423,33848
2015,"MUNICIPIO",292405,8829,NA
2015,"MUNICIPIO",292410,2694,NA
2015,"MUNICIPIO",292420,5697,NA
2015,"MUNICIPIO",292430,NA,NA
2015,"MUNICIPIO",292440,NA,NA
2015,"MUNICIPIO",292450,4410,NA
2015,"MUNICIPIO",292460,NA,NA
2015,"MUNICIPIO",292465,6832,5250
2015,"MUNICIPIO",292467,3763,NA
2015,"MUNICIPIO",292470,6262,NA
2015,"MUNICIPIO",292480,18142,NA
2015,"MUNICIPIO",292490,4244,NA
2015,"MUNICIPIO",292500,18837,NA
2015,"MUNICIPIO",292510,41921,NA
2015,"MUNICIPIO",292520,29941,28456
2015,"MUNICIPIO",292525,16044,NA
2015,"MUNICIPIO",292530,112615,94881
2015,"MUNICIPIO",292540,7723,NA
2015,"MUNICIPIO",292550,19012,NA
2015,"MUNICIPIO",292560,14712,NA
2015,"MUNICIPIO",292570,5819,9000
2015,"MUNICIPIO",292575,14901,NA
2015,"MUNICIPIO",292580,15568,NA
2015,"MUNICIPIO",292590,18894,NA
2015,"MUNICIPIO",292593,8461,NA
2015,"MUNICIPIO",292595,11277,NA
2015,"MUNICIPIO",292600,18752,12225
2015,"MUNICIPIO",292610,10117,NA
2015,"MUNICIPIO",292620,8116,NA
2015,"MUNICIPIO",292630,29278,613
2015,"MUNICIPIO",292640,NA,NA
2015,"MUNICIPIO",292650,1741,NA
2015,"MUNICIPIO",292660,38973,9455
2015,"MUNICIPIO",292665,407,NA
2015,"MUNICIPIO",292670,7062,3320
2015,"MUNICIPIO",292680,11876,NA
2015,"MUNICIPIO",292690,6385,NA
2015,"MUNICIPIO",292700,30534,NA
2015,"MUNICIPIO",292710,7912,7912
2015,"MUNICIPIO",292720,24937,1665
2015,"MUNICIPIO",292730,15385,NA
2015,"MUNICIPIO",292740,2692907,2330429
2015,"MUNICIPIO",292750,13243,7000
2015,"MUNICIPIO",292760,9690,4318
2015,"MUNICIPIO",292770,17877,11249
2015,"MUNICIPIO",292780,5845,NA
2015,"MUNICIPIO",292790,9225,6050
2015,"MUNICIPIO",292800,29744,NA
2015,"MUNICIPIO",292805,7739,NA
2015,"MUNICIPIO",292810,29749,6604
2015,"MUNICIPIO",292820,19658,NA
2015,"MUNICIPIO",292830,4791,NA
2015,"MUNICIPIO",292840,16265,3360
2015,"MUNICIPIO",292850,7706,2200
2015,"MUNICIPIO",292860,52793,24405
2015,"MUNICIPIO",292870,98695,17411
2015,"MUNICIPIO",292880,41856,440
2015,"MUNICIPIO",292890,10899,NA
2015,"MUNICIPIO",292895,8977,NA
2015,"MUNICIPIO",292910,10156,NA
2015,"MUNICIPIO",292900,9489,8659
2015,"MUNICIPIO",292905,12696,NA
2015,"MUNICIPIO",292920,39329,14044
2015,"MUNICIPIO",292925,18441,NA
2015,"MUNICIPIO",292930,27956,2852
2015,"MUNICIPIO",292935,5457,NA
2015,"MUNICIPIO",292937,8771,NA
2015,"MUNICIPIO",292940,4180,3875
2015,"MUNICIPIO",292950,31196,1508
2015,"MUNICIPIO",292960,10998,NA
2015,"MUNICIPIO",292970,8199,NA
2015,"MUNICIPIO",292975,12238,NA
2015,"MUNICIPIO",292980,8523,NA
2015,"MUNICIPIO",292990,25221,NA
2015,"MUNICIPIO",293000,10740,NA
2015,"MUNICIPIO",293010,79416,44427
2015,"MUNICIPIO",293020,NA,NA
2015,"MUNICIPIO",293015,NA,NA
2015,"MUNICIPIO",293030,11274,NA
2015,"MUNICIPIO",293040,9005,NA
2015,"MUNICIPIO",293050,76904,7502
2015,"MUNICIPIO",293060,13373,NA
2015,"MUNICIPIO",293070,101761,40395
2015,"MUNICIPIO",293075,NA,NA
2015,"MUNICIPIO",293076,8079,NA
2015,"MUNICIPIO",293077,23583,17250
2015,"MUNICIPIO",293080,7749,NA
2015,"MUNICIPIO",293090,11763,NA
2015,"MUNICIPIO",293100,11642,NA
2015,"MUNICIPIO",293105,11281,NA
2015,"MUNICIPIO",293110,7220,NA
2015,"MUNICIPIO",293120,10496,7049
2015,"MUNICIPIO",293130,13365,7000
2015,"MUNICIPIO",293135,121821,32779
2015,"MUNICIPIO",293140,6915,NA
2015,"MUNICIPIO",293150,19836,2400
2015,"MUNICIPIO",293160,6741,NA
2015,"MUNICIPIO",293170,8814,NA
2015,"MUNICIPIO",293180,4894,NA
2015,"MUNICIPIO",293190,28873,11234
2015,"MUNICIPIO",293200,15999,NA
2015,"MUNICIPIO",293210,9971,5359
2015,"MUNICIPIO",293220,17803,NA
2015,"MUNICIPIO",293230,21064,NA
2015,"MUNICIPIO",293240,14483,NA
2015,"MUNICIPIO",293245,9656,NA
2015,"MUNICIPIO",293250,13720,1669
2015,"MUNICIPIO",293260,NA,NA
2015,"MUNICIPIO",293270,17414,2631
2015,"MUNICIPIO",293280,14085,NA
2015,"MUNICIPIO",293290,83682,71032
2015,"MUNICIPIO",293300,23287,NA
2015,"MUNICIPIO",293305,12471,NA
2015,"MUNICIPIO",293310,7435,NA
2015,"MUNICIPIO",293315,11878,8760
2015,"MUNICIPIO",293317,3799,NA
2015,"MUNICIPIO",293320,42650,5335
2015,"MUNICIPIO",293325,3357,NA
2015,"MUNICIPIO",293330,343230,277103
2015,"MUNICIPIO",293340,7266,NA
2015,"MUNICIPIO",293345,8338,NA
2015,"MUNICIPIO",293350,9076,NA
2015,"MUNICIPIO",293360,45562,6248
2015,"MUNICIPIO",230010,3829,NA
2015,"MUNICIPIO",230015,6154,1728
2015,"MUNICIPIO",230020,20061,2523
2015,"MUNICIPIO",230030,18845,3903
2015,"MUNICIPIO",230040,NA,NA
2015,"MUNICIPIO",230050,2638,1452
2015,"MUNICIPIO",230060,4329,537
2015,"MUNICIPIO",230070,5764,NA
2015,"MUNICIPIO",230075,17112,1050
2015,"MUNICIPIO",230080,4532,NA
2015,"MUNICIPIO",230090,4654,NA
2015,"MUNICIPIO",230100,26004,13120
2015,"MUNICIPIO",230110,36102,9694
2015,"MUNICIPIO",230120,10063,NA
2015,"MUNICIPIO",230125,3439,NA
